name,mdn_url,firefox_version_added,firefox_flags,chrome_version_added,chrome_flags,safari_version_added,safari_flags,status_experimental,status_standard_track,status_deprecated,spec_url,org
api/AudioListener/upZ,,,,52,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiolistener-upz,W3C
api/AudioNode,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#AudioNode,W3C
api/AudioNode/channelCount,,25,,27,,7,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audionode-channelcount,W3C
api/AudioNode/channelCountMode,,25,,27,,7,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audionode-channelcountmode,W3C
api/AudioNode/channelInterpretation,,25,,27,,7,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audionode-channelinterpretation,W3C
api/AudioNode/connect,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audionode-connect,W3C
api/AudioNode/context,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audionode-context,W3C
api/AudioNode/disconnect,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audionode-disconnect,W3C
api/AudioNode/disconnect/destination_parameter,,,,43,,,,false,true,false,,NONE
api/AudioNode/disconnect/input_parameter,,,,43,,,,false,true,false,,NONE
api/AudioNode/numberOfInputs,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audionode-numberofinputs,W3C
api/AudioNode/numberOfOutputs,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audionode-numberofoutputs,W3C
api/AudioParam,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#AudioParam,W3C
api/AudioParam/automationRate,,,,68,,14,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audioparam-automationrate,W3C
api/AudioParam/cancelAndHoldAtTime,,,,57,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audioparam-cancelandholdattime,W3C
api/AudioParam/cancelScheduledValues,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audioparam-cancelscheduledvalues,W3C
api/AudioParam/defaultValue,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audioparam-defaultvalue,W3C
api/AudioParam/exponentialRampToValueAtTime,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audioparam-exponentialramptovalueattime,W3C
